candidate_id,candidate,parti,camp,year_week,week_start,n_replies,n_soutien,n_critique,n_hostilite,n_ironie,n_inconnu,pct_soutien,pct_critique,pct_hostilite,pct_ironie,net_support,polarization
rachida_dati,Dati,LR,Droite,2025-W17,2025-04-21,2,2,0,0,0,0,100.0,0.0,0.0,0.0,100.0,0.0
rachida_dati,Dati,LR,Droite,2025-W20,2025-05-12,2,1,0,0,1,0,50.0,0.0,0.0,50.0,0.0,50.0
rachida_dati,Dati,LR,Droite,2025-W21,2025-05-19,1,1,0,0,0,0,100.0,0.0,0.0,0.0,100.0,0.0
rachida_dati,Dati,LR,Droite,2025-W24,2025-06-09,10,4,3,3,0,0,40.0,30.0,30.0,0.0,10.0,30.0
rachida_dati,Dati,LR,Droite,2025-W29,2025-07-14,5,0,4,1,0,0,0.0,80.0,20.0,0.0,-20.0,20.0
rachida_dati,Dati,LR,Droite,2025-W30,2025-07-21,1,0,1,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
rachida_dati,Dati,LR,Droite,2025-W33,2025-08-11,4,0,2,0,2,0,0.0,50.0,0.0,50.0,-50.0,50.0
rachida_dati,Dati,LR,Droite,2025-W37,2025-09-08,6,1,2,3,0,0,16.67,33.33,50.0,0.0,-33.33,50.0
rachida_dati,Dati,LR,Droite,2025-W41,2025-10-06,1,0,1,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
rachida_dati,Dati,LR,Droite,2025-W46,2025-11-10,19,8,6,2,3,0,42.11,31.58,10.53,15.79,15.79,26.32
rachida_dati,Dati,LR,Droite,2025-W50,2025-12-08,23,8,8,5,2,0,34.78,34.78,21.74,8.7,4.35,30.43
rachida_dati,Dati,LR,Droite,2025-W51,2025-12-15,2,0,1,1,0,0,0.0,50.0,50.0,0.0,-50.0,50.0
rachida_dati,Dati,LR,Droite,2026-W02,2026-01-05,4,1,1,1,1,0,25.0,25.0,25.0,25.0,-25.0,50.0
rachida_dati,Dati,LR,Droite,2026-W03,2026-01-12,1,1,0,0,0,0,100.0,0.0,0.0,0.0,100.0,0.0
rachida_dati,Dati,LR,Droite,2026-W05,2026-01-26,3,0,3,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
rachida_dati,Dati,LR,Droite,2026-W06,2026-02-02,1,0,0,1,0,0,0.0,0.0,100.0,0.0,-100.0,100.0
rachida_dati,Dati,LR,Droite,2026-W07,2026-02-09,7,3,2,1,1,0,42.86,28.57,14.29,14.29,14.29,28.57
rachida_dati,Dati,LR,Droite,2026-W08,2026-02-16,41,8,15,15,3,0,19.51,36.59,36.59,7.32,-24.39,43.9
sarah_knafo,Knafo,Reconquete,Droite,2025-W08,2025-02-17,122,67,18,22,15,0,54.92,14.75,18.03,12.3,24.59,30.33
sarah_knafo,Knafo,Reconquete,Droite,2025-W17,2025-04-21,12,4,4,3,1,0,33.33,33.33,25.0,8.33,0.0,33.33
sarah_knafo,Knafo,Reconquete,Droite,2025-W20,2025-05-12,10,3,2,5,0,0,30.0,20.0,50.0,0.0,-20.0,50.0
sarah_knafo,Knafo,Reconquete,Droite,2025-W21,2025-05-19,34,15,8,8,2,1,44.12,23.53,23.53,5.88,14.71,29.41
sarah_knafo,Knafo,Reconquete,Droite,2025-W24,2025-06-09,26,10,11,3,2,0,38.46,42.31,11.54,7.69,19.23,19.23
sarah_knafo,Knafo,Reconquete,Droite,2025-W25,2025-06-16,31,10,8,10,2,1,32.26,25.81,32.26,6.45,-6.45,38.71
sarah_knafo,Knafo,Reconquete,Droite,2025-W29,2025-07-14,38,21,5,8,4,0,55.26,13.16,21.05,10.53,23.68,31.58
sarah_knafo,Knafo,Reconquete,Droite,2025-W30,2025-07-21,14,7,2,4,1,0,50.0,14.29,28.57,7.14,14.29,35.71
