author,dominant_candidate,dominant_camp,n_candidates_engaged,candidates_list,eng_david_belliard,eng_emmanuel_gregoire,eng_ian_brossat,eng_pierre_yves_bournazel,eng_rachida_dati,eng_sarah_knafo,eng_sophia_chikirou,eng_thierry_mariani,community,comm_dominant_candidate
mauricedelorme3,rachida_dati,Droite,3,"pierre_yves_bournazel,rachida_dati,sarah_knafo",0,0,0,1,1,1,0,0,rachida_dati,rachida_dati
maverick75003,david_belliard,Gauche,4,"david_belliard,ian_brossat,pierre_yves_bournazel,rachida_dati",1,0,1,1,1,0,0,0,david_belliard,david_belliard
max3141161,thierry_mariani,Extreme droite,3,"ian_brossat,sarah_knafo,thierry_mariani",0,0,1,0,0,1,0,1,thierry_mariani,thierry_mariani
maxchouw,rachida_dati,Droite,2,"ian_brossat,rachida_dati",0,0,1,0,1,0,0,0,rachida_dati,rachida_dati
maxencia2,sarah_knafo,Droite,2,"rachida_dati,sarah_knafo",0,0,0,0,1,1,0,0,sarah_knafo,sarah_knafo
maximedrouhin1,thierry_mariani,Extreme droite,2,"sarah_knafo,thierry_mariani",0,0,0,0,0,1,0,1,thierry_mariani,thierry_mariani
maximelisbonn,sarah_knafo,Droite,4,"pierre_yves_bournazel,rachida_dati,sarah_knafo,thierry_mariani",0,0,0,1,1,1,0,1,sarah_knafo,sarah_knafo
maximepaillat1,sarah_knafo,Droite,2,"david_belliard,sarah_knafo",1,0,0,0,0,1,0,0,sarah_knafo,sarah_knafo
maximethebaul10,sarah_knafo,Droite,2,"sarah_knafo,thierry_mariani",0,0,0,0,0,1,0,1,sarah_knafo,sarah_knafo
maximilian_winkler_hofer,sophia_chikirou,Gauche radicale,2,"david_belliard,sophia_chikirou",1,0,0,0,0,0,1,0,sophia_chikirou,sophia_chikirou
maxlegrosmatou,rachida_dati,Droite,2,"rachida_dati,sarah_knafo",0,0,0,0,1,1,0,0,rachida_dati,rachida_dati
maxmaug,sarah_knafo,Droite,2,"rachida_dati,sarah_knafo",0,0,0,0,1,1,0,0,sarah_knafo,sarah_knafo
maxmmaxmmmax,david_belliard,Gauche,3,"david_belliard,rachida_dati,sarah_knafo",1,0,0,0,1,1,0,0,david_belliard,david_belliard
mayasan21_,emmanuel_gregoire,Gauche,2,"emmanuel_gregoire,sophia_chikirou",0,1,0,0,0,0,1,0,emmanuel_gregoire,emmanuel_gregoire
mazagranf,sarah_knafo,Droite,2,"rachida_dati,sarah_knafo",0,0,0,0,1,1,0,0,sarah_knafo,sarah_knafo
mazurier_jeanne,rachida_dati,Droite,3,"ian_brossat,pierre_yves_bournazel,rachida_dati",0,0,1,1,1,0,0,0,rachida_dati,rachida_dati
