candidate_id,candidate_label,year_week,total_replies,pct_soutien,pct_hostilite,pct_critique,pct_ironie,pct_neutre,pct_negative
rachida_dati,R. Dati (LR),2025-W52,175,0.0343,0.0,0.0,0.0,0.9657,0.0
rachida_dati,R. Dati (LR),2026-W01,79,0.0,0.1013,0.0633,0.0127,0.8228,0.1139
rachida_dati,R. Dati (LR),2026-W02,298,0.0134,0.0,0.0,0.0,0.9866,0.0
rachida_dati,R. Dati (LR),2026-W03,1019,0.0294,0.0108,0.0108,0.002,0.947,0.0128
rachida_dati,R. Dati (LR),2026-W04,870,0.0333,0.0034,0.008,0.0057,0.9494,0.0092
rachida_dati,R. Dati (LR),2026-W05,1178,0.0433,0.0051,0.011,0.0,0.9406,0.0051
rachida_dati,R. Dati (LR),2026-W06,99,0.0505,0.0,0.0,0.0,0.9495,0.0
rachida_dati,R. Dati (LR),2026-W07,39,0.0513,0.0,0.0,0.0,0.9487,0.0
sarah_knafo,S. Knafo (Reconquete),2024-W51,53,0.3208,0.0,0.0377,0.0,0.6415,0.0
sarah_knafo,S. Knafo (Reconquete),2025-W13,28,0.1429,0.1071,0.1071,0.0,0.6429,0.1071
sarah_knafo,S. Knafo (Reconquete),2025-W14,127,0.2283,0.0551,0.0236,0.0079,0.685,0.063
sarah_knafo,S. Knafo (Reconquete),2025-W15,70,0.0571,0.0143,0.0286,0.0,0.9,0.0143
sarah_knafo,S. Knafo (Reconquete),2025-W16,107,0.028,0.0,0.0,0.0,0.972,0.0
sarah_knafo,S. Knafo (Reconquete),2025-W17,136,0.0809,0.0,0.0,0.0,0.9191,0.0
sarah_knafo,S. Knafo (Reconquete),2025-W18,491,0.2301,0.0244,0.0224,0.002,0.721,0.0265
sarah_knafo,S. Knafo (Reconquete),2025-W19,491,0.1935,0.0061,0.0,0.0,0.8004,0.0061
sarah_knafo,S. Knafo (Reconquete),2025-W20,356,0.1826,0.0112,0.0365,0.0056,0.764,0.0169
sarah_knafo,S. Knafo (Reconquete),2025-W21,753,0.1487,0.0053,0.0093,0.0,0.8367,0.0053
sarah_knafo,S. Knafo (Reconquete),2025-W22,177,0.1186,0.0169,0.0282,0.0,0.8362,0.0169
sarah_knafo,S. Knafo (Reconquete),2025-W23,476,0.2038,0.0126,0.0084,0.0021,0.7731,0.0147
sarah_knafo,S. Knafo (Reconquete),2025-W24,334,0.1257,0.0,0.0,0.0,0.8743,0.0
sarah_knafo,S. Knafo (Reconquete),2025-W25,499,0.1283,0.008,0.008,0.006,0.8497,0.014
sarah_knafo,S. Knafo (Reconquete),2025-W26,824,0.1262,0.0121,0.0158,0.0,0.8459,0.0121
sarah_knafo,S. Knafo (Reconquete),2025-W27,475,0.1768,0.0084,0.0063,0.0021,0.8063,0.0105
sarah_knafo,S. Knafo (Reconquete),2025-W28,580,0.1121,0.0155,0.0086,0.0034,0.8603,0.019
sarah_knafo,S. Knafo (Reconquete),2025-W29,272,0.2132,0.0037,0.0184,0.0,0.7647,0.0037
sarah_knafo,S. Knafo (Reconquete),2025-W30,127,0.2205,0.0,0.0315,0.0079,0.7402,0.0079
sarah_knafo,S. Knafo (Reconquete),2025-W31,130,0.0923,0.0,0.0,0.0,0.9077,0.0
sarah_knafo,S. Knafo (Reconquete),2025-W32,171,0.0936,0.0,0.0,0.0,0.9064,0.0
sarah_knafo,S. Knafo (Reconquete),2025-W33,64,0.0,0.0,0.0,0.0,1.0,0.0
sarah_knafo,S. Knafo (Reconquete),2025-W34,67,0.0896,0.0,0.0,0.0,0.9104,0.0
sarah_knafo,S. Knafo (Reconquete),2025-W35,517,0.1644,0.0251,0.0193,0.0019,0.7892,0.0271
