source,target,pair,themes,n_themes,text_snippet
emmanuel_gregoire,ian_brossat,Gregoire->Brossat,alliance,1,"les municipales à paris ? « nous ne souhaitons pas d’accord avec @franceinsoumise , ni au premier ni"
emmanuel_gregoire,ian_brossat,Gregoire->Brossat,autre,0,il est surréaliste de devoir encore saisir la justice pour rappeler que les clubs racistes ne sont p
ian_brossat,emmanuel_gregoire,Brossat->Gregoire,securite,1,excellent porte-à-porte dans le 7e arrondissement hier soir jusqu’à ce que mme dati… fasse interveni
ian_brossat,emmanuel_gregoire,Brossat->Gregoire,autre,0,"coucou l’@arcom_fr, est-il acceptable que les chaînes infos multiplient les émissions spéciales avec"
ian_brossat,emmanuel_gregoire,Brossat->Gregoire,autre,0,sur le terrain comme tous les soirs en porte à porte ! excellent accueil dans le 14e pour la gauche 
ian_brossat,emmanuel_gregoire,Brossat->Gregoire,autre,0,"3 heures avec dati sur bfm, 2 heures avec knafo sur cnews. les chaînes info en roue libre, au mépris"
ian_brossat,emmanuel_gregoire,Brossat->Gregoire,autre,0,"à votre rencontre ce soir à la chapelle dans le 18e pour échanger, écouter et convaincre de voter po"
ian_brossat,emmanuel_gregoire,Brossat->Gregoire,autre,0,"une gauche unie avec @egregoire qui progresse, une droite avec dati qui stagne. en avant jusqu’à la "
ian_brossat,emmanuel_gregoire,Brossat->Gregoire,autre,0,je vous donne ici 3 bonnes raisons de voter pour la gauche unie avec @egregoire à paris les 15 et 22
ian_brossat,emmanuel_gregoire,Brossat->Gregoire,autre,0,l’un des plus grands sites de baignade que paris n’ait jamais connu : la gauche unie avec @egregoire
ian_brossat,emmanuel_gregoire,Brossat->Gregoire,ecologie,1,il y a la droite qui s’est opposée à la piétonnisation des quais. celle qui veut faire revenir les v
ian_brossat,emmanuel_gregoire,Brossat->Gregoire,securite,1,"au lendemain d’un porte-à-porte interrompu par la police dans l’arrondissement de mme dati, les band"
ian_brossat,emmanuel_gregoire,Brossat->Gregoire,logement,1,"oui nous avons doublé la proportion de logements sociaux à paris. avec @egregoire, nous allons ampli"
ian_brossat,emmanuel_gregoire,Brossat->Gregoire,securite,1,"il y a deux semaines, nous avons eu droit à la visite de la police alors que nous faisions un porte "
ian_brossat,rachida_dati,Brossat->Dati,autre,0,on peut connaître le coût de ce nouveau logo @datirachida ?
ian_brossat,emmanuel_gregoire,Brossat->Gregoire,"programme,logement",2,"super accueil ce matin au marché de l’olive pour un 18e et un paris populaire, vivant et fier. échan"
ian_brossat,emmanuel_gregoire,Brossat->Gregoire,autre,0,toute la gauche unie était ce matin dans le 18e et quel accueil ! de belles rencontres et des échang
ian_brossat,emmanuel_gregoire,Brossat->Gregoire,programme,1,"comme tous les soirs en porte à porte, cette fois-ci dans le 19e pour porter les propositions de la "
ian_brossat,emmanuel_gregoire,Brossat->Gregoire,autre,0,une dynamique qui se confirme jour après jour : @egregoire nettement en tête au premier tour des éle
ian_brossat,emmanuel_gregoire,Brossat->Gregoire,logement,1,"création de 4 000 places d’hébergement, présomption de minorité, réquisition des logements vacants d"
ian_brossat,emmanuel_gregoire,Brossat->Gregoire,autre,0,"accueil très chaleureux dans le 18eme pour le porte à porte de la gauche unie. on continue, jusqu’à "
ian_brossat,emmanuel_gregoire,Brossat->Gregoire,securite,1,"à la veille du débat sénatorial sur la fin de vie, parmi les mesures les plus sordides que la commis"
ian_brossat,emmanuel_gregoire,Brossat->Gregoire,autre,0,à votre rencontre ce matin à la goutte d’or pour la gauche unie avec @egregoire. j’ai entendu vos in
ian_brossat,emmanuel_gregoire,Brossat->Gregoire,"programme,logement",2,meeting géant autour d’@egregoire et la gauche unie pour paris. un monde fou et des propositions con
ian_brossat,emmanuel_gregoire,Brossat->Gregoire,autre,0,« madame dati veut des grilles autour du champ-de-mars. mon petit doigt me dit qu’elle finira derriè
ian_brossat,david_belliard,Brossat->Belliard,alliance,1,extraordinaire. les soutiens de mme knafo publient des commentaires racistes sur son site. et elle m
ian_brossat,emmanuel_gregoire,Brossat->Gregoire,autre,0,"en tête de 7 points au premier tour, seul à pouvoir battre la droite extrémisée de dati-knafo : @egr"
