week,topic_name,n_tweets,avg_eng
2025-08-11,Social & solidarite,8,1264.875
2025-08-11,Securite & delinquance,5,2656.4
2025-08-11,Logement & urbanisme,2,79.0
2025-08-11,Geopolitique & international,10,2903.2
2025-08-11,Education & culture,11,2280.5454545454545
2025-08-11,Deux / Emmanuel / Peuple,3,3589.0
2025-08-11,Budget & finances,6,3536.0
2025-08-11,Arrondissement / Liberté / Gauche,7,302.0
2025-08-18,Vie locale & citoyennete,4,87.75
2025-08-18,Soutien / Jour / France,2,266.0
2025-08-18,Social & solidarite,4,408.0
2025-08-18,Securite & delinquance,3,6443.0
2025-08-18,Logement & urbanisme,9,243.44444444444449
2025-08-18,Geopolitique & international,12,1032.0833333333333
2025-08-18,Education & culture,8,2004.125
2025-08-18,Budget & finances,4,1527.75
2025-08-18,Arrondissement / Liberté / Gauche,4,1126.25
2025-08-25,Vie locale & citoyennete,9,302.77777777777777
2025-08-25,Soutien / Jour / France,7,1928.7142857142856
2025-08-25,Social & solidarite,10,4045.0
2025-08-25,Logement & urbanisme,9,2883.222222222222
2025-08-25,Securite & delinquance,13,4634.0
2025-08-25,Education & culture,18,2488.0
2025-08-25,Arrondissement / Liberté / Gauche,10,3030.9
2025-08-25,Budget & finances,22,8083.090909090909
2025-08-25,Geopolitique & international,14,1801.071428571429
2025-08-25,Deux / Emmanuel / Peuple,3,8816.0
2025-09-01,Arrondissement / Liberté / Gauche,15,685.4666666666667
2025-09-01,Budget & finances,22,7221.227272727273
2025-09-01,Deux / Emmanuel / Peuple,4,1031.75
2025-09-01,Education & culture,18,4122.444444444444
2025-09-01,Logement & urbanisme,32,2934.4375
2025-09-01,Securite & delinquance,14,4829.928571428572
2025-09-01,Social & solidarite,14,1667.142857142857
2025-09-01,Soutien / Jour / France,10,271.8
2025-09-01,Vie locale & citoyennete,7,246.14285714285717
2025-09-01,Geopolitique & international,19,3221.0
2025-09-08,Vie locale & citoyennete,5,874.2
2025-09-08,Logement & urbanisme,23,2759.0
2025-09-08,Soutien / Jour / France,17,4566.176470588235
2025-09-08,Social & solidarite,16,1148.0625
2025-09-08,Securite & delinquance,10,1500.6
2025-09-08,Geopolitique & international,26,7103.692307692308
2025-09-08,Deux / Emmanuel / Peuple,6,5527.666666666667
2025-09-08,Budget & finances,26,2737.769230769231
2025-09-08,Arrondissement / Liberté / Gauche,13,579.8461538461538
2025-09-08,Education & culture,33,6197.212121212121
2025-09-15,Vie locale & citoyennete,14,2303.214285714286
2025-09-15,Soutien / Jour / France,5,3560.4
2025-09-15,Social & solidarite,17,1952.4117647058824
2025-09-15,Securite & delinquance,12,1082.9166666666667
2025-09-15,Logement & urbanisme,14,614.5
2025-09-15,Education & culture,31,2483.8064516129034
2025-09-15,Deux / Emmanuel / Peuple,8,2744.5
2025-09-15,Budget & finances,22,8470.0
2025-09-15,Arrondissement / Liberté / Gauche,16,855.125
2025-09-15,Geopolitique & international,30,2340.3
2025-09-22,Securite & delinquance,12,1616.5833333333333
2025-09-22,Soutien / Jour / France,12,4762.166666666667
2025-09-22,Vie locale & citoyennete,4,3135.0
2025-09-22,Social & solidarite,15,1331.2666666666669
2025-09-22,Logement & urbanisme,19,1279.8947368421052
2025-09-22,Budget & finances,15,4842.933333333333
2025-09-22,Education & culture,25,869.88
2025-09-22,Deux / Emmanuel / Peuple,6,152.0
2025-09-22,Arrondissement / Liberté / Gauche,23,734.1304347826087
2025-09-22,Geopolitique & international,28,3282.714285714286
2025-09-29,Vie locale & citoyennete,11,165.36363636363637
2025-09-29,Soutien / Jour / France,10,1992.6
2025-09-29,Social & solidarite,9,285.22222222222223
2025-09-29,Securite & delinquance,15,4451.733333333334
2025-09-29,Logement & urbanisme,18,1771.888888888889
2025-09-29,Geopolitique & international,19,3599.315789473684
2025-09-29,Education & culture,34,2525.176470588235
2025-09-29,Deux / Emmanuel / Peuple,3,1314.0
2025-09-29,Budget & finances,20,5873.9
2025-09-29,Arrondissement / Liberté / Gauche,4,142.5
2025-10-06,Vie locale & citoyennete,14,932.6428571428572
2025-10-06,Soutien / Jour / France,21,1205.3333333333333
2025-10-06,Social & solidarite,13,1709.1538461538462
2025-10-06,Securite & delinquance,10,2151.2
2025-10-06,Logement & urbanisme,11,31093.90909090909
2025-10-06,Education & culture,30,3572.633333333333
2025-10-06,Deux / Emmanuel / Peuple,9,3880.6666666666665
2025-10-06,Budget & finances,23,3841.086956521739
2025-10-06,Arrondissement / Liberté / Gauche,13,1060.5384615384614
2025-10-06,Geopolitique & international,23,1602.9565217391305
2025-10-13,Geopolitique & international,18,4010.1111111111113
2025-10-13,Arrondissement / Liberté / Gauche,6,197.66666666666663
2025-10-13,Budget & finances,33,3083.5454545454545
2025-10-13,Deux / Emmanuel / Peuple,4,260.0
2025-10-13,Education & culture,21,2024.6666666666667
2025-10-13,Logement & urbanisme,19,6987.9473684210525
2025-10-13,Securite & delinquance,8,4291.625
2025-10-13,Social & solidarite,13,1118.2307692307693
2025-10-13,Soutien / Jour / France,23,2500.782608695652
2025-10-13,Vie locale & citoyennete,10,1337.2
2025-10-20,Social & solidarite,7,1093.571428571429
2025-10-20,Securite & delinquance,7,3670.142857142857
2025-10-20,Vie locale & citoyennete,6,761.1666666666666
2025-10-20,Soutien / Jour / France,5,4132.6
2025-10-20,Logement & urbanisme,10,603.0
2025-10-20,Arrondissement / Liberté / Gauche,10,2263.1
2025-10-20,Education & culture,30,1975.1
2025-10-20,Deux / Emmanuel / Peuple,5,6172.6
2025-10-20,Budget & finances,12,6961.166666666667
2025-10-20,Geopolitique & international,11,2014.3636363636365
2025-10-27,Vie locale & citoyennete,14,615.2142857142857
2025-10-27,Soutien / Jour / France,14,1450.071428571429
2025-10-27,Social & solidarite,19,1508.9473684210527
2025-10-27,Securite & delinquance,15,1625.7333333333331
2025-10-27,Logement & urbanisme,18,4927.944444444444
2025-10-27,Education & culture,28,2241.678571428572
2025-10-27,Deux / Emmanuel / Peuple,5,4133.6
2025-10-27,Budget & finances,18,5377.166666666667
2025-10-27,Arrondissement / Liberté / Gauche,10,832.1
2025-10-27,Geopolitique & international,9,2527.6666666666665
2025-11-03,Securite & delinquance,18,2518.0
2025-11-03,Vie locale & citoyennete,24,475.2083333333333
2025-11-03,Soutien / Jour / France,15,4324.6
2025-11-03,Social & solidarite,9,1857.3333333333333
2025-11-03,Logement & urbanisme,19,1361.2631578947369
2025-11-03,Arrondissement / Liberté / Gauche,16,822.0
2025-11-03,Education & culture,20,2172.05
2025-11-03,Deux / Emmanuel / Peuple,10,947.8
2025-11-03,Budget & finances,16,2109.3125
2025-11-03,Geopolitique & international,15,2535.866666666667
2025-11-10,Vie locale & citoyennete,12,1014.4166666666666
2025-11-10,Soutien / Jour / France,25,2117.44
2025-11-10,Social & solidarite,13,1298.8461538461538
2025-11-10,Securite & delinquance,9,751.8888888888889
2025-11-10,Logement & urbanisme,22,2422.7727272727275
2025-11-10,Education & culture,19,2745.315789473684
2025-11-10,Deux / Emmanuel / Peuple,2,4943.0
2025-11-10,Budget & finances,9,2312.777777777778
2025-11-10,Arrondissement / Liberté / Gauche,11,1258.2727272727273
