author1,author2,n_co_timings,candidates
AlexieDelalande,michael14717,1,Bournazel
MansuyYves,caroline14710,1,Bournazel
Bahsief93,LusoHerisson,1,Bournazel
PatrioteZfr,pyh_pierre,1,Bournazel
2Halumi,Richemo17401155,1,Bournazel
BlobelPonge,Fred67intl,1,Bournazel
ganbrid,marc_paris_x,1,Bournazel
Lourau20e,SetbouneD,1,Bournazel
DanIoanMuresan,DupuyTheop25968,1,Bournazel
DanIoanMuresan,Danhalakha,1,Bournazel
All_FredRic,ogelin,1,Bournazel
EmmaRacc,ogelin,1,Bournazel
All_FredRic,EmmaRacc,1,Bournazel
MaRachou18,Patrickkdl1,1,Bournazel
Arnaud3J,JFH92650951,1,Bournazel
BasLesYouks,MailderemyRmy,1,Bournazel
fabienyeiayel,haraldvonh,1,Bournazel
haraldvonh,hogerpierre,1,Bournazel
Lepetitfut4,cafenoisette75,1,Bournazel
AngeleBatisti,cafenoisette75,1,Bournazel
AngeleBatisti,Lepetitfut4,1,Bournazel
elanglin2,potentiel70,1,Bournazel
Crislor94,domdumoulin,1,Bournazel
Gaetan_lemo1ne,MacronardsFM,1,Bournazel
elisabethsudre,perinjosette,1,Brossat
nr22.69,paris_reviens,1,Brossat
diego_devale,paris_reviens,1,Brossat
depassos4,paris_reviens,1,Brossat
diego_devale,nr22.69,1,Brossat
depassos4,diego_devale,1,Brossat
class_van_cdg_orly_disney_jews,depassos4,1,Brossat
depassos4,v.hunyor,1,Brossat
class_van_cdg_orly_disney_jews,v.hunyor,1,Brossat
haraldvonh,mh2p_,1,Brossat
cherry_art_art_art,haraldvonh,1,Brossat
haraldvonh,lege_gele,1,Brossat
bersaut24,haraldvonh,1,Brossat
diego_devale,mh2p_,1,Brossat
cherry_art_art_art,diego_devale,1,Brossat
diego_devale,lege_gele,1,Brossat
bill_16491,paris_reviens,1,Brossat
bill_16491,world_chill,1,Brossat
PiquouzeAgogo,immigration_fr,1,Brossat
PierreB57082927,alexthesoulman,1,Brossat
Mrozzz100169,soudaniesp,1,Brossat
CarolePutod,Raygees9,1,Brossat
Patrickkdl1,nick28117,1,Brossat
henrigoude99935,nobru072,1,Brossat
AngeleBatisti,immigration_fr,1,Brossat
Fab_2_Thann,ortem95,1,Brossat
Maverick75003,ortem95,1,Brossat
Bendor83,jiaiffert,1,Brossat
BernardB51869,Samuel_Lafont,1,Brossat
VincentdeVince2,tythanblog,1,Brossat
Andregilles10,r4yben,1,Brossat
CarolePutod,MotschBeno12447,1,Brossat
KanameVirgo2,p83_jean,1,Brossat
MaitreHaposai,Samuel_Lafont,1,Brossat
MaitreHaposai,zario58,1,Brossat
Samuel_Lafont,zario58,1,Brossat
PierN9,Raven942547,1,Brossat
AtiyahLeewood,jblide75,1,Brossat
ElseDavid18811,RanqueJp,1,Brossat
Bendor83,Papresist48,1,Brossat
Raygees9,nick28117,1,Brossat
BelzacqMax,jfouchard29,1,Brossat
PhLachaise,jfouchard29,1,Brossat
BelzacqMax,PhLachaise,1,Brossat
Mbaki_02198109,anne2br,1,Brossat
Mbaki_02198109,nobru072,1,Brossat
la_chikirou_tourne,world_chill,1,Chikirou
fabienyeiayel,world_chill,1,Chikirou
RichardC1444981,ngoloshabazz,1,Chikirou
DSoulaine,tranquilou91540,1,Dati
OlivierMILAN1,tranquilou91540,1,Dati
DSoulaine,OlivierMILAN1,1,Dati
cafenoisette75,polosonrouge,1,Dati
FbkzS12,GolemGrognon,1,Dati
LinaSurprise,gegelerouge,1,Dati
Elie1503,saliou_bru78510,1,Dati
BralandCal2464,CedSarda,1,Dati
BatesNorman881,lacsap066,1,Dati
MirnaDzamonja,Slim06610424,1,Dati
MirnaDzamonja,julou31,1,Dati
Slim06610424,julou31,1,Dati
LinaSurprise,martonola,1,Dati
AdressePip61241,fred6789012345,1,Dati
AdressePip61241,CoyotteWill,1,Dati
CoyotteWill,fred6789012345,1,Dati
AdressePip61241,Elie1503,1,Dati
AdressePip61241,gonzaguedestzob,1,Dati
PierreB57082927,soleil_trompeur,1,Dati
BoulierCharles,thierryB75015,1,Dati
Bigsquatlegs,LeMerle24,1,Dati
fichet_2022,urbicande75,1,Dati
AdressePip61241,calleja230,1,Dati
manonbymanon_,mauricedelorme3,1,Dati
Bigsquatlegs,Floralutece15,1,Dati
ContactKi,Le_Mat_57,1,Dati
CarolineDervil,truc_justin,1,Dati
AntLenc,mehdimillesbal,1,Dati
Numbgurd,mehdimillesbal,1,Dati
AntLenc,Numbgurd,1,Dati
AntLenc,MacronardsFM,1,Dati
MacronardsFM,Numbgurd,1,Dati
FemtoGodhand,MacronardsFM,1,Dati
Bigsquatlegs,troubatjeannoel,1,Dati
Complotismus,astrobole,1,Dati
MarcPeulier,ruraletfier,1,Dati
JohnPSharpe,Numbgurd,1,Dati
Chrisdln2,MOGORO1,1,Dati
Chrisdln2,coryleguen,1,Dati
MOGORO1,coryleguen,1,Dati
Mihkael35,lamorille23,1,Dati
BullinLaur59128,sylvainst_pr,1,Dati
Max60856876,Vinzessence,1,Dati
Max60856876,astrobole,1,Dati
Vinzessence,astrobole,1,Dati
Lauric13,astrobole,1,Dati
Lauric13,Max60856876,1,Dati
BarnyAlfred,Gvedalia,1,Dati
HugoMe,MOGORO1,1,Dati
HugoMe,hidalgodegage,1,Dati
BarnyAlfred,Fathi1288118,1,Dati
BarnyAlfred,JohnPSharpe,1,Dati
Fathi1288118,JohnPSharpe,1,Dati
Rahexphon33,sebanxo,1,Dati
Benoit_L_Autre,colette70748,1,Dati
HugoMe,PBelassen66103,1,Dati
ElzevirZe,cpzvigor,1,Dati
Sylsyl1975,face_dark720,1,Dati
Rhode_Ruby,colette70748,1,Dati
Sophie_Pons,christianasse,1,Dati
didi4954,wasken83,1,Dati
SocRouge,didi4954,1,Dati
SocRouge,wasken83,1,Dati
Martine69085607,cazeaux_go43837,1,Dati
Fred_Rel,OlivierMILAN1,1,Dati
PatRiot1953277,upstar_7,1,Dati
Benoit_L_Autre,Lo2298672529792,1,Dati
Ghostlemanager,lazgougeon,1,Dati
LAuvergnat12,bingopanam,1,Dati
PBelassen66103,bingopanam,1,Dati
bingopanam,gretaperdido,1,Dati
Calisson_66,mthistoria,1,Dati
barbouille7,mthistoria,1,Dati
bouliboulibouli,conileetmax,1,Dati
AntEditions,bouliboulibouli,1,Dati
AntEditions,QueenFirmAction,1,Dati
KINGDHARMA1,gerardfiloche,1,Dati
AlexTerieur77,alexthesoulman,1,Dati
KINGDHARMA1,alexthesoulman,1,Dati
AlexTerieur77,KINGDHARMA1,1,Dati
brecy_g,conileetmax,1,Dati
chanet_delphine,parisperdu75,1,Dati
AlekssandreCP,astrobole,1,Dati
ArizonaDream14,gustave213,1,Dati
mutantes909090,zonettegaulier,1,Dati
Rahexphon33,pkcgm,1,Dati
Citoyen83674311,TLGLePtitGars,1,Dati
AlekssandreCP,maria_andy2,1,Dati
MOULINIERPatri1,gerardfiloche,1,Dati
MOULINIERPatri1,Olivancalderone,1,Dati
jetsept3,sebanxo,1,Dati
NBouvierOff,de_chardin,1,Dati
L_Theault,de_chardin,1,Dati
L_Theault,NBouvierOff,1,Dati
MatouEcureuil,Shuyaftw,1,Dati
MecBorde,delier74781,1,Dati
AlekssandreCP,Sophie_Pons,1,Dati
AtiyahLeewood,polosonrouge,1,Dati
Calisson_66,suisse_lau46040,1,Dati
Calisson_66,g_olivierg9377,1,Dati
g_olivierg9377,suisse_lau46040,1,Dati
FxJg9806,g_olivierg9377,1,Dati
fabricenoel13,samueldokam,1,Dati
2mainLaChapelle,jakguion,1,Dati
SophieBrun15,VigneDe,1,Dati
BernardB51869,RemiFauconnier,1,Dati
BernardB51869,mauricedelorme3,1,Dati
ElzevirZe,mauricedelorme3,1,Dati
Lorenzetisabel2,jeanlouis235590,1,Dati
AlainLafarge,aimeparis_j,1,Dati
mehdimillesbal,yl2235,1,Dati
AlekssandreCP,eManu___,1,Dati
Lorenzetisabel2,eManu___,1,Dati
AlekssandreCP,Lorenzetisabel2,1,Dati
TheReganAngle,artichaut63,1,Dati
AlekssandreCP,TheReganAngle,1,Dati
p_duval,sebanxo,1,Dati
Arc_Atlantique,e_i_l_i_m_e_,1,Dati
LauvinPoirier,LeclercFlorence,1,Dati
KINGDHARMA1,nicostewz,1,Dati
MirnaDzamonja,VigneDe,1,Dati
1parisienaparis,pkcgm,1,Dati
1parisienaparis,seb_sph,1,Dati
pkcgm,seb_sph,1,Dati
BrenierLaura,EmmaRobinsonss,1,Dati
Pierre_ROGEON,humaindesouche,1,Dati
corsucorse,showerpop2000,1,Dati
1parisienaparis,DubreuilhMarcel,1,Dati
g_olivierg9377,polosonrouge,1,Dati
1parisienaparis,DeparisJulien,1,Dati
Numbgurd,briallon57908,1,Dati
AMarcilly_TMKT,Mdechateaurouge,1,Dati
TheReganAngle,jmhupel,1,Dati
TLGLePtitGars,hdfnol,1,Dati
AlekssandreCP,BrunoWadmag,1,Dati
JohnPSharpe,MarcPeulier,1,Dati
38vercors,MarcPeulier,1,Dati
38vercors,fichet_2022,1,Dati
LEquation5201,johndo55480154,1,Dati
Fred_Rel,MacronardsFM,1,Dati
Fred_Rel,agoralith,1,Dati
MacronardsFM,agoralith,1,Dati
1parisienaparis,EricZorglub,1,Dati
Bartabas13,PAT223986916,1,Dati
MirnaDzamonja,Soljenitsyniste,1,Dati
29Locki,parti_lef,1,Dati
BrunoWadmag,SitoulmE,1,Dati
VIIRepublique,time_scoop,1,Dati
mauricedelorme3,neveu_matthieu,1,Dati
agoralith,lamorille23,1,Dati
fabricenoel13,parti_lef,1,Dati
Crypto_fox7,OlivierRimmel,1,Dati
Bordeauben95316,OlivierRimmel,1,Dati
Bordeauben95316,unZsinonrien,1,Dati
JulienPasteur1,astrobole,1,Dati
BarnyAlfred,Meego13am,1,Dati
1parisienaparis,OscoffDavid,1,Dati
ElzevirZe,humaindesouche,1,Dati
mehdibellebna,patrice_koch,1,Dati
MacronardsFM,colette70748,1,Dati
NMarcarian,OscoffDavid,1,Dati
NMarcarian,_Askel,1,Dati
OscoffDavid,_Askel,1,Dati
_Askel,g_olivierg9377,1,Dati
_Askel,marc_paris_x,1,Dati
HussardUse,_Askel,1,Dati
g_olivierg9377,marc_paris_x,1,Dati
HussardUse,g_olivierg9377,1,Dati
HussardUse,marc_paris_x,1,Dati
Jean_Mapine,humaindesouche,1,Dati
richardlevy75,soitLibre,1,Dati
JeanLucVillene1,Pierre_ROGEON,1,Dati
parisperdu75,zeyda123,1,Dati
bensetta,facqoddebes,1,Dati
1parisienaparis,delier74781,1,Dati
GAbarnoug,mehdibellebna,1,Dati
HugoMe,letulpadedavid,1,Dati
SaleChatDuDemon,easyten75,1,Dati
Gvedalia,monnier403,1,Dati
AlekssandreCP,bensetta,1,Dati
maria_andy2,tybert2018,1,Dati
JohnPSharpe,Magdamary85,1,Dati
DBouffee,polosonrouge,1,Dati
Bruno86650943,mazurier_jeanne,1,Dati
SabineShenerman,fabricenoel13,1,Dati
astrobole,facqoddebes,1,Dati
cazeaux_go43837,immigration_fr,1,Dati
crevettedusoir,mazurier_jeanne,1,Dati
BarnyAlfred,MartinAmart75,1,Dati
MartinAmart75,monica_fer70513,1,Dati
domdumoulin,las_isab,1,Dati
Alexo474,Netox_144,1,Dati
PhenixPhnix,frckd,1,Dati
2Halumi,marrejean4142,1,Dati
BrunoWadmag,laurapausi2004,1,Dati
MTambutte66337,sale_gose,1,Dati
HugoMe,officielsoral,1,Dati
AMBUT18,lucide28,1,Dati
Fred_Rel,PasquisF,1,Dati
HugoMe,JohnPSharpe,1,Dati
Furio8630028226,PhenixPhnix,1,Dati
JEANBANVILLE1,MathonChri49279,1,Dati
Despeerad0s,godoy9953,1,Dati
